+---------+----------------------------+
| STATUS  | TITLE                      |
+---------+----------------------------+
|         | 3D Kanojo: Real Girl       |
|         | 3D Kanojo: Real Girl 2     |
|         | A Destructive God Sits     |
|         |     Next To Me             |
|         | Alice And Zorouku          |
|         | Arakawa Under The Bridge   |
|         | Ascendance Of A Bookworm   |
|         | Ascendance Of A Bookworm 2 |
|         | Asobi Asobase              |
|         | Black Clover               |
| OK      | Blend-S                    |
|         | Classroom Of The Elite     |
|         | Cromartie High School      |
| OK      | D-Frag!                    |
| OK      | Danshi Koukousei No        |
|         |     Nichijou               |
|         | Dear Sir Hannibal          |
| ONGOING | Deca-dence                 |
|         | Death March To The         |
|         |     Parallel World         |
|         |     Rhapsody               |
|         | Detroit Metal City         |
| ONGOING | Dokyuu Hentai HxEros       |
| OK      | Domestic Na Kanojo         |
| OK      | Dr. Stone                  |
| OK      | Dumbbell Nan Kilo Moteru   |
| OK      | Gabriel Dropout            |
|         | Golden Kamuy               |
|         | Golden Kamuy 2             |
|         | Grand Blue                 |
|         | Great Teacher Onizuka      |
|         | Hakata Tonkotsu Ramens     |
|         | Healin' Good Precure       |
|         | High School DxD            |
|         | High School Prodigies Have |
|         |     It Easy Even In        |
|         |     Another World          |
|         | Higurashi No Naku Koro Ni  |
|         | Hina Festival              |
| OK      | Houseki No Kuni            |
|         | I Am Sakamoto              |
|         | In Another World With My   |
|         |     Smartphone             |
|         | Isekai Cheat Magician      |
|         | JoJo's Bizarre Adventure:  |
|         |     Phantom Blood & Battle |
|         |     Tendency               |
|         | JoJo's Bizarre Adventure:  |
|         |     Stardust Crusaders     |
|         | JoJo's Bizarre Adventure:  |
|         |     Stardust Crusaders:    |
|         |     Battle In Egypt        |
|         | JoJo's Bizarre Adventure:  |
|         |     Stardust Crusaders OVA |
|         | JoJo's Bizarre Adventure:  |
|         |     Diamond Is Unbreakable |
| OK      | JoJo's Bizarre Adventure:  |
|         |     Golden Wind            |
|         | KADO: The Right Answer     |
| OK      | Kaguya-sama: Love Is War   |
| OK      | Kaguya-sama: Love Is War 2 |
|         | Kaichou Wa Maid-sama!      |
|         | Kakuriyo: Bed And          |
|         |     Breakfast For Spirits  |
| OK      | Kakushigoto                |
| OK      | Kami No Tou                |
|         | Karakai Jouzu No           |
|         |     Takagi-san             |
|         | Karakai Jouzu No           |
|         |     Takagi-san 2           |
|         | Keppeki Danshi! Aoyama-kun |
| OK      | Kimetsu No Yaiba           |
|         | Kino No Tabi               |
|         | Kitsutsuki Tanteidokoro    |
| OK      | Last Period -The Journey   |
|         |     To The End Of Despair- |
|         | Machikado Mazoku           |
| OK      | Mob Psycho 100             |
| OK      | Mob Psycho 100 2           |
|         | Monster Girl Doctor        |
|         | My Bride Is A Mermaid      |
|         | My Next Life As A          |
|         |     Villainess: All Routes |
|         |     Lead To Doom           |
|         | Nanatsu No Taizai          |
| OK      | New Game!                  |
| OK      | New Game!!                 |
|         | Nisekoi                    |
|         | Nisekoi 2                  |
|         | One Piece                  |
| OK      | One Punch Man              |
| OK      | One Punch Man 2            |
|         | Ore Monogatari             |
|         | Peter Grill And The        |
|         |     Philosopher's Time     |
|         | Poco's Udon World          |
|         | Prison School              |
|         | Promised Neverland         |
|         | Re: Zero -Starting Life In |
|         |     Another World-         |
| ONGOING | Rent-A-Girlfriend          |
|         | Rokudenashi Majutsu Koushi |
|         |     To Akashic Records     |
|         | Saiki K                    |
| OK      | Senryuu Shoujo             |
| OK      | Seitokai Yakuindomo        |
| OK      | Seitokai Yakuindomo OVA    |
| OK      | Seitokai Yakuindomo *      |
| OK      | Seitokai Yakuindomo * OVA  |
| OK      | Servant X Service          |
|         | Sewayaki Kitsune No        |
|         |     Senko-san              |
| OK      | Shoujo Shuumatsu Ryouku    |
|         | Sket Dance                 |
|         | Tada Never Falls In Love   |
| ONGOING | The God Of High School     |
|         | The Junji Ito Collection   |
| ONGOING | The Misfit Of Demon King   |
|         |     Academy                |
|         | The Quintessential         |
|         |     Quintuplets            |
|         | The Ryuo's Work Is Never   |
|         |     Done                   |
|         | This Art Club Has A        |
|         |     Problem                |
|         | Toilet-bound Hanako-kun    |
| ONGOING | Uzaki-chan Wa Asobitai     |
| OK      | Working!!                  |
|         | Working!!'                 |
|         | Working!!!                 |
|         | Working!!: Lord Of         |
|         |     Takanashi              |
|         | WWW.Working!!              |
| OK      | Yahari Ore No Seishun Love |
|         |     Comedy Wa              |
|         |     Machigatteiru.         |
| OK      | Yahari Ore No Seishun Love |
|         |     Comedy Wa              |
|         |     Machigatteiru. Zoku    |
| OK      | Yahari Ore No Seishun Love |
|         |     Comedy Wa              |
|         |     Machigatteiru. Zoku    |
|         |     OVA                    |
| ONGOING | Yahari Ore No Seishun Love |
|         |     Comedy Wa              |
|         |     Machigatteiru. Kan     |
|         | Youkai Apaato No Yuuga Na  |
|         |     Nichijou               |
+---------+----------------------------+
